name,text,type,manaCost,convertedManaCost
Volrath's Shapeshifter,"As long as the top card of your graveyard is a creature card, Volrath's Shapeshifter has the full text of that card and has the text ""{2}: Discard a card."" (Volrath's Shapeshifter has that card's name, mana cost, color, types, abilities, power, and toughness.)
{2}: Discard a card.",Creature — Shapeshifter,{1}{U}{U},3
Volrath's Stronghold,"{T}: Add {C}.
{1}{B}, {T}: Put target creature card from your graveyard on top of your library.",Legendary Land,,0
"Volrath, the Shapestealer","At the beginning of combat on your turn, put a -1/-1 counter on up to one target creature.
{1}: Until your next turn, Volrath, the Shapestealer becomes a copy of target creature with a counter on it, except it's 7/5 and it has this ability.",Legendary Creature — Shapeshifter,{2}{B}{G}{U},5
Volt Charge,"Volt Charge deals 3 damage to any target. Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",Instant,{2}{R},3
Voltaic Brawler,"When Voltaic Brawler enters the battlefield, you get {E}{E} (two energy counters).
Whenever Voltaic Brawler attacks, you may pay {E}. If you do, it gets +1/+1 and gains trample until end of turn.",Creature — Human Warrior,{R}{G},2
Voltaic Construct,{2}: Untap target artifact creature.,Artifact Creature — Golem Construct,{4},4
Voltaic Key,"{1}, {T}: Untap target artifact.",Artifact,{1},1
Voltaic Servant,"At the beginning of your end step, untap target artifact.",Artifact Creature — Construct,{2},2
Volunteer Militia,,Creature — Human Soldier,{W},1
Volunteer Reserves,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)",Creature — Human Soldier,{1}{W},2
Vona's Hunger,"Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
Each opponent sacrifices a creature. If you have the city's blessing, instead each opponent sacrifices half the creatures they control, rounded up.",Instant,{2}{B},3
"Vona, Butcher of Magan","Vigilance, lifelink
{T}, Pay 7 life: Destroy target nonland permanent. Activate this ability only during your turn.",Legendary Creature — Vampire Knight,{3}{W}{B},5
Voodoo Doll,"At the beginning of your upkeep, put a pin counter on Voodoo Doll.
At the beginning of your end step, if Voodoo Doll is untapped, destroy Voodoo Doll and it deals damage to you equal to the number of pin counters on it.
{X}{X}, {T}: Voodoo Doll deals damage equal to the number of pin counters on it to any target. X is the number of pin counters on Voodoo Doll.",Artifact,{6},6
Voracious Cobra,"First strike
Whenever Voracious Cobra deals combat damage to a creature, destroy that creature.",Creature — Snake,{2}{R}{G},4
Voracious Dragon,"Flying
Devour 1 (As this enters the battlefield, you may sacrifice any number of creatures. This creature enters the battlefield with that many +1/+1 counters on it.)
When Voracious Dragon enters the battlefield, it deals damage to any target equal to twice the number of Goblins it devoured.",Creature — Dragon,{3}{R}{R},5
Voracious Hatchling,"Lifelink
Voracious Hatchling enters the battlefield with four -1/-1 counters on it.
Whenever you cast a white spell, remove a -1/-1 counter from Voracious Hatchling.
Whenever you cast a black spell, remove a -1/-1 counter from Voracious Hatchling.",Creature — Elemental,{3}{W/B},4
Voracious Hydra,"Trample
Voracious Hydra enters the battlefield with X +1/+1 counters on it.
When Voracious Hydra enters the battlefield, choose one —
• Double the number of +1/+1 counters on Voracious Hydra.
• Voracious Hydra fights target creature you don't control.",Creature — Hydra,{X}{G}{G},2
Voracious Null,"{1}{B}, Sacrifice another creature: Put two +1/+1 counters on Voracious Null. Activate this ability only any time you could cast a sorcery.",Creature — Zombie,{2}{B},3
Voracious Reader,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Instant and sorcery spells you cast cost {1} less to cast.",Creature — Eldrazi Homunculus,,2
Voracious Vacuum,"When this creature enters the battlefield, put a +1/+1 counter on target creature.",Artifact Host Creature — Construct,{3},3
Voracious Vampire,"Menace
When Voracious Vampire enters the battlefield, target Vampire you control gets +1/+1 and gains menace until end of turn.",Creature — Vampire Knight,{2}{B},3
Voracious Wurm,"Voracious Wurm enters the battlefield with X +1/+1 counters on it, where X is the amount of life you've gained this turn.",Creature — Wurm,{1}{G},2
Vorapede,"Vigilance, trample
Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)",Creature — Insect,{2}{G}{G}{G},5
Vorel of the Hull Clade,"{G}{U}, {T}: Double the number of each kind of counter on target artifact, creature, or land.",Legendary Creature — Human Merfolk,{1}{G}{U},3
"Vorinclex, Voice of Hunger","Trample
Whenever you tap a land for mana, add one mana of any type that land produced.
Whenever an opponent taps a land for mana, that land doesn't untap during its controller's next untap step.",Legendary Creature — Praetor,{6}{G}{G},8
"Vorosh, the Hunter","Flying
Whenever Vorosh, the Hunter deals combat damage to a player, you may pay {2}{G}. If you do, put six +1/+1 counters on Vorosh.",Legendary Creature — Dragon,{3}{B}{G}{U},6
Vorrac Battlehorns,"Equipped creature has trample and can't be blocked by more than one creature.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery. This card enters the battlefield unattached and stays on the battlefield if the creature leaves.)",Artifact — Equipment,{2},2
Vorstclaw,,Creature — Elemental Horror,{4}{G}{G},6
Vortex Elemental,"{U}: Put Vortex Elemental and each creature blocking or blocked by it on top of their owners' libraries, then those players shuffle their libraries.
{3}{U}{U}: Target creature blocks Vortex Elemental this turn if able.",Creature — Elemental,{U},1
Votary of the Conclave,{2}{G}: Regenerate Votary of the Conclave.,Creature — Human Soldier,{W},1
Vow of Duty,"Enchant creature
Enchanted creature gets +2/+2, has vigilance, and can't attack you or a planeswalker you control.",Enchantment — Aura,{2}{W},3
Vow of Flight,"Enchant creature
Enchanted creature gets +2/+2, has flying, and can't attack you or a planeswalker you control.",Enchantment — Aura,{2}{U},3
Vow of Lightning,"Enchant creature
Enchanted creature gets +2/+2, has first strike, and can't attack you or a planeswalker you control.",Enchantment — Aura,{2}{R},3
Vow of Malice,"Enchant creature
Enchanted creature gets +2/+2, has intimidate, and can't attack you or a planeswalker you control. (A creature with intimidate can't be blocked except by artifact creatures and/or creatures that share a color with it.)",Enchantment — Aura,{2}{B},3
Vow of Wildness,"Enchant creature
Enchanted creature gets +3/+3, has trample, and can't attack you or a planeswalker you control.",Enchantment — Aura,{2}{G},3
Voyage's End,Return target creature to its owner's hand. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),Instant,{1}{U},2
Voyager Drake,"Multikicker {U} (You may pay an additional {U} any number of times as you cast this spell.)
Flying
When Voyager Drake enters the battlefield, up to X target creatures gain flying until end of turn, where X is the number of times Voyager Drake was kicked.",Creature — Drake,{3}{U},4
Voyager Staff,"{2}, Sacrifice Voyager Staff: Exile target creature. Return the exiled card to the battlefield under its owner's control at the beginning of the next end step.",Artifact,{1},1
Voyaging Satyr,{T}: Untap target land.,Creature — Satyr Druid,{1}{G},2
Vraska the Unseen,"[+1]: Until your next turn, whenever a creature deals combat damage to Vraska the Unseen, destroy that creature.
[−3]: Destroy target nonland permanent.
[−7]: Create three 1/1 black Assassin creature tokens with ""Whenever this creature deals combat damage to a player, that player loses the game.""",Legendary Planeswalker — Vraska,{3}{B}{G},5
Vraska's Conquistador,"Whenever Vraska's Conquistador attacks or blocks, if you control a Vraska planeswalker, target opponent loses 2 life and you gain 2 life.",Creature — Vampire Soldier,{1}{B},2
Vraska's Contempt,Exile target creature or planeswalker. You gain 2 life.,Instant,{2}{B}{B},4
Vraska's Finisher,"When Vraska's Finisher enters the battlefield, destroy target creature or planeswalker an opponent controls that was dealt damage this turn.",Creature — Gorgon Assassin,{2}{B},3
Vraska's Scorn,"Target opponent loses 4 life. You may search your library and/or graveyard for a card named Vraska, Scheming Gorgon, reveal it, and put it into your hand. If you search your library this way, shuffle it.",Sorcery,{2}{B}{B},4
Vraska's Stoneglare,"Destroy target creature. You gain life equal to its toughness. You may search your library and/or graveyard for a card named Vraska, Regal Gorgon, reveal it, and put it into your hand. If you search your library this way, shuffle it.",Sorcery,{4}{B}{G},6
"Vraska, Golgari Queen","[+2]: You may sacrifice another permanent. If you do, you gain 1 life and draw a card.
[−3]: Destroy target nonland permanent with converted mana cost 3 or less.
[−9]: You get an emblem with ""Whenever a creature you control deals combat damage to a player, that player loses the game.""",Legendary Planeswalker — Vraska,{2}{B}{G},4
"Vraska, Regal Gorgon","[+2]: Put a +1/+1 counter on up to one target creature. That creature gains menace until end of turn.
[−3]: Destroy target creature.
[−10]: For each creature card in your graveyard, put a +1/+1 counter on each creature you control.",Legendary Planeswalker — Vraska,{5}{B}{G},7
"Vraska, Relic Seeker","[+2]: Create a 2/2 black Pirate creature token with menace.
[−3]: Destroy target artifact, creature, or enchantment. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")
[−10]: Target player's life total becomes 1.",Legendary Planeswalker — Vraska,{4}{B}{G},6
"Vraska, Scheming Gorgon","[+2]: Creatures you control get +1/+0 until end of turn.
[−3]: Destroy target creature.
[−10]: Until end of turn, creatures you control gain deathtouch and ""Whenever this creature deals damage to an opponent, that player loses the game.""",Legendary Planeswalker — Vraska,{4}{B}{B},6
"Vraska, Swarm's Eminence","Whenever a creature you control with deathtouch deals damage to a player or planeswalker, put a +1/+1 counter on that creature.
[−2]: Create a 1/1 black Assassin creature token with deathtouch and ""Whenever this creature deals damage to a planeswalker, destroy that planeswalker.""",Legendary Planeswalker — Vraska,{2}{B/G}{B/G},4
Vryn Wingmare,"Flying
Noncreature spells cost {1} more to cast.",Creature — Pegasus,{2}{W},3
Vug Lizard,"Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)
Echo {1}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)",Creature — Lizard,{1}{R}{R},3
Vulpine Goliath,Trample,Creature — Fox,{4}{G}{G},6
Vulshok Battlegear,"Equipped creature gets +3/+3.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery. This card enters the battlefield unattached and stays on the battlefield if the creature leaves.)",Artifact — Equipment,{3},3
Vulshok Battlemaster,"Haste
When Vulshok Battlemaster enters the battlefield, attach all Equipment on the battlefield to it. (Control of the Equipment doesn't change.)",Creature — Human Warrior,{4}{R},5
Vulshok Berserker,Haste (This creature can attack and {T} as soon as it comes under your control.),Creature — Human Berserker,{3}{R},4
Vulshok Gauntlets,"Equipped creature gets +4/+2 and doesn't untap during its controller's untap step.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery. This card enters the battlefield unattached and stays on the battlefield if the creature leaves.)",Artifact — Equipment,{2},2
Vulshok Heartstoker,"When Vulshok Heartstoker enters the battlefield, target creature gets +2/+0 until end of turn.",Creature — Human Shaman,{2}{R},3
Vulshok Morningstar,"Equipped creature gets +2/+2.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",Artifact — Equipment,{2},2
Vulshok Refugee,Protection from red,Creature — Human Warrior,{1}{R}{R},3
Vulshok Replica,"{1}{R}, Sacrifice Vulshok Replica: It deals 3 damage to target player or planeswalker.",Artifact Creature — Berserker,{3},3
Vulshok Sorcerer,"Haste
{T}: Vulshok Sorcerer deals 1 damage to any target.",Creature — Human Shaman,{1}{R}{R},3
Vulshok War Boar,"When Vulshok War Boar enters the battlefield, sacrifice it unless you sacrifice an artifact.",Creature — Boar Beast,{2}{R}{R},4
Vulturous Aven,"Flying
Exploit (When this creature enters the battlefield, you may sacrifice a creature.)
When Vulturous Aven exploits a creature, you draw two cards and you lose 2 life.",Creature — Bird Shaman,{3}{B},4
Vulturous Zombie,"Flying
Whenever a card is put into an opponent's graveyard from anywhere, put a +1/+1 counter on Vulturous Zombie.",Creature — Plant Zombie,{3}{B}{G},5
Wail of the Nim,"Choose one —
• Regenerate each creature you control.
• Wail of the Nim deals 1 damage to each creature and each player.
Entwine {B} (Choose both if you pay the entwine cost.)",Instant,{2}{B},3
Wailing Ghoul,"When Wailing Ghoul enters the battlefield, put the top two cards of your library into your graveyard.",Creature — Zombie,{1}{B},2
Waiting in the Weeds,Each player creates a 1/1 green Cat creature token for each untapped Forest they control.,Sorcery,{1}{G}{G},3
Wake Thrasher,"Whenever a permanent you control becomes untapped, Wake Thrasher gets +1/+1 until end of turn.",Creature — Merfolk Soldier,{2}{U},3
Wake of Destruction,Destroy target land and all other lands with the same name as that land.,Sorcery,{3}{R}{R}{R},6
Wake of Vultures,"Flying
{1}{B}, Sacrifice a creature: Regenerate Wake of Vultures.",Creature — Bird,{3}{B},4
Wake the Dead,"Cast this spell only during combat on an opponent's turn.
Return X target creature cards from your graveyard to the battlefield. Sacrifice those creatures at the beginning of the next end step.",Instant,{X}{B}{B},2
Wake the Reflections,Populate. (Create a token that's a copy of a creature token you control.),Sorcery,{W},1
Wakedancer,"Morbid — When Wakedancer enters the battlefield, if a creature died this turn, create a 2/2 black Zombie creature token.",Creature — Human Shaman,{2}{B},3
Wakening Sun's Avatar,"When Wakening Sun's Avatar enters the battlefield, if you cast it from your hand, destroy all non-Dinosaur creatures.",Creature — Dinosaur Avatar,{5}{W}{W}{W},8
Waker of the Wilds,{X}{G}{G}: Put X +1/+1 counters on target land you control. That land becomes a 0/0 Elemental creature with haste. It's still a land.,Creature — Merfolk Shaman,{2}{G}{G},4
Wakeroot Elemental,{G}{G}{G}{G}{G}: Untap target land you control. It becomes a 5/5 Elemental creature with haste. It's still a land. (This effect lasts as long as that land remains on the battlefield.),Creature — Elemental,{4}{G}{G},6
Wakestone Gargoyle,"Defender, flying
{1}{W}: Creatures you control with defender can attack this turn as though they didn't have defender.",Creature — Gargoyle,{3}{W},4
Waking Nightmare,Target player discards two cards.,Sorcery — Arcane,{2}{B},3
Walk the Aeons,"Buyback—Sacrifice three Islands. (You may sacrifice three Islands in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)
Target player takes an extra turn after this one.",Sorcery,{4}{U}{U},6
Walk the Plank,Destroy target non-Merfolk creature.,Sorcery,{B}{B},2
Walker of Secret Ways,"Ninjutsu {1}{U} ({1}{U}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.)
Whenever Walker of Secret Ways deals combat damage to a player, look at that player's hand.
{1}{U}: Return target Ninja you control to its owner's hand. Activate this ability only during your turn.",Creature — Human Ninja,{2}{U},3
Walker of the Grove,"When Walker of the Grove leaves the battlefield, create a 4/4 green Elemental creature token.
Evoke {4}{G} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)",Creature — Elemental,{6}{G}{G},8
Walker of the Wastes,"({C} represents colorless mana.)
Trample
Walker of the Wastes gets +1/+1 for each land you control named Wastes.",Creature — Eldrazi,{4}{C},5
Walking Archive,"Defender (This creature can't attack.)
Walking Archive enters the battlefield with a +1/+1 counter on it.
At the beginning of each player's upkeep, that player draws a card for each +1/+1 counter on Walking Archive.
{2}{W}{U}: Put a +1/+1 counter on Walking Archive.",Artifact Creature — Golem,{3},3
Walking Atlas,{T}: You may put a land card from your hand onto the battlefield.,Artifact Creature — Construct,{2},2
Walking Ballista,"Walking Ballista enters the battlefield with X +1/+1 counters on it.
{4}: Put a +1/+1 counter on Walking Ballista.
Remove a +1/+1 counter from Walking Ballista: It deals 1 damage to any target.",Artifact Creature — Construct,{X}{X},0
Walking Corpse,,Creature — Zombie,{1}{B},2
Walking Dead,{B}: Regenerate Walking Dead.,Creature — Zombie,{1}{B},2
Walking Desecration,"{B}, {T}: Creatures of the creature type of your choice attack this turn if able.",Creature — Zombie,{2}{B},3
Walking Dream,"Walking Dream can't be blocked.
Walking Dream doesn't untap during your untap step if an opponent controls two or more creatures.",Creature — Illusion,{3}{U},4
Walking Sponge,"{T}: Target creature loses your choice of flying, first strike, or trample until end of turn.",Creature — Sponge,{1}{U},2
Walking Wall,"Defender
{3}: Walking Wall gets +3/-1 until end of turn and can attack this turn as though it didn't have defender. Activate this ability only once each turn.",Artifact Creature — Wall,{4},4
Wall of Air,"Defender, flying (This creature can't attack, and it can block creatures with flying.)",Creature — Wall,{1}{U}{U},3
Wall of Blood,"Defender (This creature can't attack.)
Pay 1 life: Wall of Blood gets +1/+1 until end of turn.",Creature — Wall,{2}{B},3
Wall of Blossoms,"Defender
When Wall of Blossoms enters the battlefield, draw a card.",Creature — Plant Wall,{1}{G},2
Wall of Bone,"Defender (This creature can't attack.)
{B}: Regenerate Wall of Bone. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)",Creature — Skeleton Wall,{2}{B},3
Wall of Brambles,"Defender (This creature can't attack.)
{G}: Regenerate Wall of Brambles.",Creature — Plant Wall,{2}{G},3
Wall of Caltrops,"Defender (This creature can't attack.)
Whenever Wall of Caltrops blocks a creature, if at least one other Wall creature is blocking that creature and no non-Wall creatures are blocking that creature, Wall of Caltrops gains banding until end of turn. (If any creatures with banding you control are blocking a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by.)",Creature — Wall,{1}{W},2
Wall of Corpses,"Defender (This creature can't attack.)
{B}, Sacrifice Wall of Corpses: Destroy target creature Wall of Corpses is blocking.",Creature — Wall,{1}{B},2
Wall of Deceit,"Defender (This creature can't attack.)
{3}: Turn Wall of Deceit face down.
Morph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",Creature — Wall,{1}{U},2
Wall of Denial,"Defender, flying
Shroud (This creature can't be the target of spells or abilities.)",Creature — Wall,{1}{W}{U},3
Wall of Diffusion,"Defender (This creature can't attack.)
Wall of Diffusion can block creatures with shadow as though Wall of Diffusion had shadow.",Creature — Wall,{1}{R},2
Wall of Distortion,"Defender (This creature can't attack.)
{2}{B}, {T}: Target player discards a card. Activate this ability only any time you could cast a sorcery.",Creature — Wall,{2}{B}{B},4
Wall of Dust,"Defender (This creature can't attack.)
Whenever Wall of Dust blocks a creature, that creature can't attack during its controller's next turn.",Creature — Wall,{2}{R},3
Wall of Earth,Defender (This creature can't attack.),Creature — Wall,{1}{R},2
Wall of Essence,"Defender (This creature can't attack.)
Whenever Wall of Essence is dealt combat damage, you gain that much life.",Creature — Wall,{1}{W},2
Wall of Faith,"Defender (This creature can't attack.)
{W}: Wall of Faith gets +0/+1 until end of turn.",Creature — Wall,{3}{W},4
Wall of Fire,"Defender (This creature can't attack.)
{R}: Wall of Fire gets +1/+0 until end of turn.",Creature — Wall,{1}{R}{R},3
Wall of Forgotten Pharaohs,"Defender
{T}: Wall of Forgotten Pharaohs deals 1 damage to target player or planeswalker. Activate this ability only if you control a Desert or there is a Desert card in your graveyard.",Artifact Creature — Wall,{2},2
Wall of Fortune,"Defender
You may tap an untapped Wall you control to have any player reroll a die that player rolled.",Artifact Creature — Wall,{1}{U},2
Wall of Frost,"Defender
Whenever Wall of Frost blocks a creature, that creature doesn't untap during its controller's next untap step.",Creature — Wall,{1}{U}{U},3
Wall of Glare,"Defender (This creature can't attack.)
Wall of Glare can block any number of creatures.",Creature — Wall,{1}{W},2
Wall of Granite,Defender (This creature can't attack.),Creature — Wall,{2}{R},3
Wall of Heat,Defender (This creature can't attack.),Creature — Wall,{2}{R},3
Wall of Hope,"Defender (This creature can't attack.)
Whenever Wall of Hope is dealt damage, you gain that much life.",Creature — Wall,{W},1
Wall of Ice,Defender (This creature can't attack.),Creature — Wall,{2}{G},3
Wall of Junk,"Defender (This creature can't attack.)
When Wall of Junk blocks, return it to its owner's hand at end of combat. (Return it only if it's on the battlefield.)",Artifact Creature — Wall,{2},2
Wall of Kelp,"Defender (This creature can't attack.)
{U}{U}, {T}: Create a 0/1 blue Plant Wall creature token with defender named Kelp.",Creature — Plant Wall,{U}{U},2
Wall of Lava,"Defender (This creature can't attack.)
{R}: Wall of Lava gets +1/+1 until end of turn.",Creature — Wall,{1}{R}{R},3
Wall of Light,"Defender (This creature can't attack.)
Protection from black",Creature — Wall,{2}{W},3
Wall of Limbs,"Defender (This creature can't attack.)
Whenever you gain life, put a +1/+1 counter on Wall of Limbs.
{5}{B}{B}, Sacrifice Wall of Limbs: Target player loses X life, where X is Wall of Limbs's power.",Creature — Zombie Wall,{2}{B},3
Wall of Lost Thoughts,"Defender
When Wall of Lost Thoughts enters the battlefield, target player puts the top four cards of their library into their graveyard.",Creature — Wall,{1}{U},2
Wall of Mist,Defender,Creature — Wall,{1}{U},2
Wall of Mulch,"Defender (This creature can't attack.)
{G}, Sacrifice a Wall: Draw a card.",Creature — Wall,{1}{G},2
Wall of Nets,"Defender (This creature can't attack.)
At end of combat, exile all creatures blocked by Wall of Nets.
When Wall of Nets leaves the battlefield, return all cards exiled with Wall of Nets to the battlefield under their owners' control.",Creature — Wall,{1}{W}{W},3
Wall of Omens,"Defender
When Wall of Omens enters the battlefield, draw a card.",Creature — Wall,{1}{W},2
Wall of One Thousand Cuts,"Defender, flying
{W}: Wall of One Thousand Cuts can attack this turn as though it didn't have defender.",Creature — Wall,{3}{W}{W},5
Wall of Opposition,"Defender (This creature can't attack.)
{1}: Wall of Opposition gets +1/+0 until end of turn.",Creature — Wall,{3}{R}{R},5
Wall of Pine Needles,"Defender (This creature can't attack.)
{G}: Regenerate Wall of Pine Needles.",Creature — Plant Wall,{3}{G},4
Wall of Putrid Flesh,"Defender (This creature can't attack.)
Protection from white
Prevent all damage that would be dealt to Wall of Putrid Flesh by enchanted creatures.",Creature — Wall,{2}{B},3
Wall of Razors,"Defender (This creature can't attack.)
First strike",Creature — Wall,{1}{R},2
Wall of Resistance,"Defender (This creature can't attack.)
Flying
At the beginning of each end step, if Wall of Resistance was dealt damage this turn, put a +0/+1 counter on it.",Creature — Wall,{1}{W},2
Wall of Resurgence,"Defender
When Wall of Resurgence enters the battlefield, you may put three +1/+1 counters on target land you control. If you do, that land becomes a 0/0 Elemental creature with haste that's still a land.",Creature — Wall,{2}{W},3
Wall of Reverence,"Defender, flying
At the beginning of your end step, you may gain life equal to the power of target creature you control.",Creature — Spirit Wall,{3}{W},4
Wall of Roots,"Defender
Put a -0/-1 counter on Wall of Roots: Add {G}. Activate this ability only once each turn.",Creature — Plant Wall,{1}{G},2
Wall of Runes,"Defender
When Wall of Runes enters the battlefield, scry 1.",Creature — Wall,{U},1
Wall of Shadows,"Defender (This creature can't attack.)
Prevent all damage that would be dealt to Wall of Shadows by creatures it's blocking.
Wall of Shadows can't be the target of spells that can target only Walls or of abilities that can target only Walls.",Creature — Wall,{1}{B}{B},3
Wall of Shards,"Defender, flying
Cumulative upkeep—An opponent gains 1 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)",Snow Creature — Wall,{1}{W},2
Wall of Shields,"Defender (This creature can't attack.)
Banding (If any creatures with banding you control are blocking a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by.)",Artifact Creature — Wall,{3},3
Wall of Souls,"Defender (This creature can't attack.)
Whenever Wall of Souls is dealt combat damage, it deals that much damage to target opponent or planeswalker.",Creature — Wall,{1}{B},2
Wall of Spears,"Defender (This creature can't attack.)
First strike",Artifact Creature — Wall,{3},3
Wall of Stolen Identity,"You may have Wall of Stolen Identity enter the battlefield as a copy of any creature on the battlefield, except it's a Wall in addition to its other types and has defender. When you do, tap the copied creature and it doesn't untap during its controller's untap step for as long as you control Wall of Stolen Identity.",Creature — Shapeshifter Wall,{3}{U},4
Wall of Stone,Defender (This creature can't attack.),Creature — Wall,{1}{R}{R},3
Wall of Swords,"Defender (This creature can't attack.)
Flying",Creature — Wall,{3}{W},4
Wall of Tanglecord,"Defender
{G}: Wall of Tanglecord gains reach until end of turn. (It can block creatures with flying.)",Artifact Creature — Wall,{2},2
Wall of Tears,"Defender (This creature can't attack.)
Whenever Wall of Tears blocks a creature, return that creature to its owner's hand at end of combat.",Creature — Wall,{1}{U},2
Wall of Tombstones,"Defender (This creature can't attack.)
At the beginning of your upkeep, change Wall of Tombstones's base toughness to 1 plus the number of creature cards in your graveyard. (This effect lasts indefinitely.)",Creature — Wall,{1}{B},2
Wall of Torches,Defender (This creature can't attack.),Creature — Wall,{1}{R},2
Wall of Vapor,"Defender (This creature can't attack.)
Prevent all damage that would be dealt to Wall of Vapor by creatures it's blocking.",Creature — Wall,{3}{U},4
Wall of Vines,"Defender (This creature can't attack.)
Reach (This creature can block creatures with flying.)",Creature — Plant Wall,{G},1
Wall of Vipers,"Defender (This creature can't attack.)
{3}: Destroy Wall of Vipers and target creature it's blocking. Any player may activate this ability.",Creature — Snake Wall,{2}{B},3
Wall of Water,"Defender (This creature can't attack.)
{U}: Wall of Water gets +1/+0 until end of turn.",Creature — Wall,{1}{U}{U},3
Wall of Wonder,"Defender (This creature can't attack.)
{2}{U}{U}: Wall of Wonder gets +4/-4 until end of turn and can attack this turn as though it didn't have defender.",Creature — Wall,{2}{U}{U},4
Wall of Wood,Defender (This creature can't attack.),Creature — Wall,{G},1
Wallop,Destroy target blue or black creature with flying.,Sorcery,{1}{G},2
Wand of Denial,"{T}: Look at the top card of target player's library. If it's a nonland card, you may pay 2 life. If you do, put it into that player's graveyard.",Artifact,{2},2
Wand of Ith,"{3}, {T}: Target player reveals a card at random from their hand. If it's a land card, that player discards it unless they pay 1 life. If it isn't a land card, the player discards it unless they pay life equal to its converted mana cost. Activate this ability only during your turn.",Artifact,{4},4
Wand of Vertebrae,"{T}: Put the top card of your library into your graveyard.
{2}, {T}, Exile Wand of Vertebrae: Shuffle up to five target cards from your graveyard into your library.",Artifact,{1},1
Wand of the Elements,"{T}, Sacrifice an Island: Create a 2/2 blue Elemental creature token with flying.
{T}, Sacrifice a Mountain: Create a 3/3 red Elemental creature token.",Artifact,{4},4
Wander in Death,"Return up to two target creature cards from your graveyard to your hand.
Cycling {2} ({2}, Discard this card: Draw a card.)",Sorcery,{2}{B},3
Wanderbrine Rootcutters,Wanderbrine Rootcutters can't be blocked by green creatures.,Creature — Merfolk Rogue,{2}{U/B}{U/B},4
Wanderer's Strike,"Exile target creature, then proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)",Sorcery,{4}{W},5
Wanderer's Twig,"{1}, Sacrifice Wanderer's Twig: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.",Artifact,{1},1
Wanderguard Sentry,"When Wanderguard Sentry enters the battlefield, look at target opponent's hand.",Creature — Drone,{4}{U},5
Wandering Champion,"Whenever Wandering Champion deals combat damage to a player, if you control a blue or red permanent, you may discard a card. If you do, draw a card.",Creature — Human Monk,{1}{W},2
Wandering Eye,"Flying
Players play with their hands revealed.",Creature — Illusion,{2}{U},3
Wandering Fumarole,"Wandering Fumarole enters the battlefield tapped.
{T}: Add {U} or {R}.
{2}{U}{R}: Until end of turn, Wandering Fumarole becomes a 1/4 blue and red Elemental creature with ""{0}: Switch this creature's power and toughness until end of turn."" It's still a land.",Land,,0
Wandering Goblins,Domain — {3}: Wandering Goblins gets +1/+0 until end of turn for each basic land type among lands you control.,Creature — Goblin Warrior,{2}{R},3
Wandering Graybeard,"Kinship — At the beginning of your upkeep, you may look at the top card of your library. If it shares a creature type with Wandering Graybeard, you may reveal it. If you do, you gain 4 life.",Creature — Giant Wizard,{3}{W}{W},5
Wandering Mage,"{W}, Pay 1 life: Prevent the next 2 damage that would be dealt to target creature this turn.
{U}: Prevent the next 1 damage that would be dealt to target Cleric or Wizard creature this turn.
{B}, Put a -1/-1 counter on a creature you control: Prevent the next 2 damage that would be dealt to target player or planeswalker this turn.",Creature — Human Cleric Wizard,{W}{U}{B},3
Wandering Ones,,Creature — Spirit,{U},1
Wandering Stream,Domain — You gain 2 life for each basic land type among lands you control.,Sorcery,{2}{G},3
Wandering Tombshell,,Creature — Zombie Turtle,{3}{B},4
Wandering Wolf,Creatures with power less than Wandering Wolf's power can't block it.,Creature — Wolf,{1}{G},2
